OBO_ID	GENE LIST	TOTAL GENES
CHEBI_57694	['GYPA', 'ITGB3', 'ITGA2B', 'ALOX15']	4
PR_P02724	['GYPA']	1
GO_0039530	['OAS3']	1
GO_0032728	['OAS3']	1
4940	['OAS3']	1
GO_0043231	['OAS3']	1
GO_0071659	['OAS3']	1
GO_0060700	['OAS3']	1
GO_0035395	['OAS3']	1
GO_0001730	['OAS3']	1
GO_0071650	['OAS3']	1
GO_0071639	['OAS3']	1
PR_Q9Y6K5	['OAS3']	1
GO_0060339	['OAS3']	1
CHEBI_6078	['OAS3', 'TUBB2A']	2
CHEBI_30616	['OAS3']	1
GO_0003725	['OAS3']	1
GO_0006139	['OAS3']	1
PR_000011576	['OAS3']	1
CHEBI_67143	['OAS3']	1
GO_0039529	['OAS3']	1
CHEBI_33019	['OAS3']	1
GO_2000342	['OAS3']	1
GO_0005524	['OAS3']	1
CHEBI_18420	['OAS3']	1
PR_P04003	['C4BPA']	1
722	['C4BPA']	1
GO_0045959	['C4BPA']	1
GO_0009609	['C4BPA']	1
GO_0006958	['C4BPA', 'IGKC']	2
GO_0045732	['C4BPA']	1
GO_1903027	['C4BPA']	1
PR_000030465	['C4BPA']	1
PR_000005880	['CRISP3']	1
UBERON_0001000	['CRISP3']	1
GO_0042581	['CRISP3', 'OLFM4']	2
10321	['CRISP3']	1
UBERON_0001255	['CRISP3', 'MYL9']	2
PR_P54108	['CRISP3']	1
UBERON_0003889	['CRISP3']	1
CHEBI_29865	['CRISP3', 'ITGB3', 'ITGA2B', 'ARG1']	4
GO_0031012	['CRISP3']	1
CL_1001319	['CRISP3']	1
CHEBI_41879	['OLFM4']	1
GO_0045296	['OLFM4']	1
CL_0000786	['OLFM4', 'JCHAIN']	2
PR_Q6UX06	['OLFM4']	1
CL_0000163	['OLFM4']	1
GO_1900026	['OLFM4']	1
GO_0007155	['OLFM4', 'ITGB3', 'SIGLEC14']	3
GO_0050764	['OLFM4']	1
GO_2000389	['OLFM4']	1
CL_0000312	['OLFM4']	1
GO_0003824	['OLFM4']	1
GO_0005198	['OLFM4']	1
PR_000011626	['OLFM4']	1
GO_0042582	['OLFM4']	1
GO_0048471	['OLFM4', 'MS4A3']	2
UBERON_0000160	['OLFM4', 'VNN1', 'JCHAIN']	3
10562	['OLFM4']	1
GO_0030141	['OLFM4']	1
GO_0010939	['OLFM4']	1
GO_0045171	['OLFM4']	1
CL_0000351	['OLFM4']	1
GO_0042981	['OLFM4']	1
GO_0005161	['ITGB3']	1
GO_0031528	['ITGB3']	1
CL_0000767	['ITGB3', 'LCN2', 'ITGA2B', 'MS4A3']	4
GO_0048333	['ITGB3']	1
CHEBI_15843	['ITGB3', 'ITGA2B', 'ALOX15']	3
GO_1905598	['ITGB3']	1
GO_0070051	['ITGB3', 'ITGA2B']	2
CHEBI_37941	['ITGB3']	1
GO_0007229	['ITGB3', 'ITGA2B']	2
CHEBI_4911	['ITGB3']	1
GO_0035868	['ITGB3']	1
GO_0005911	['ITGB3']	1
GO_0019960	['ITGB3']	1
GO_0007596	['ITGB3']	1
CHEBI_4167	['ITGB3', 'ITGA2B']	2
GO_0005925	['ITGB3', 'ITGA2B']	2
GO_0035295	['ITGB3']	1
UBERON_0002046	['ITGB3']	1
GO_0070527	['ITGB3', 'ITGA2B', 'MYL9']	3
UBERON_0007795	['ITGB3', 'LCN2', 'VNN1']	3
GO_0035867	['ITGB3']	1
GO_0016477	['ITGB3']	1
GO_0042470	['ITGB3']	1
CHEBI_17234	['ITGB3', 'ITGA2B']	2
GO_0034446	['ITGB3']	1
GO_0071062	['ITGB3']	1
GO_0033627	['ITGB3']	1
GO_0031589	['ITGB3']	1
CHEBI_77954	['ITGB3', 'MYL9']	2
CHEBI_7596	['ITGB3']	1
GO_0015026	['ITGB3']	1
GO_0051611	['ITGB3']	1
PR_P05106	['ITGB3']	1
GO_0014909	['ITGB3']	1
GO_0010888	['ITGB3']	1
GO_0008305	['ITGB3', 'ITGA2B']	2
CHEBI_3423	['ITGB3', 'LCN2']	2
3690	['ITGB3']	1
GO_0043184	['ITGB3']	1
CHEBI_3752	['ITGB3']	1
GO_0038027	['ITGB3']	1
GO_0010595	['ITGB3', 'LCN2']	2
GO_0001968	['ITGB3']	1
GO_0005178	['ITGB3']	1
GO_0050840	['ITGB3', 'ITGA2B']	2
GO_0050731	['ITGB3']	1
GO_0031092	['ITGB3', 'ITGA2B']	2
GO_0043235	['ITGB3']	1
GO_0009986	['ITGB3', 'ITGA2B', 'CEACAM8']	3
GO_0045124	['ITGB3']	1
PR_000002042	['ITGB3']	1
GO_0010745	['ITGB3']	1
CHEBI_47381	['ITGB3']	1
GO_0032880	['ITGB3']	1
CHEBI_16480	['ITGB3']	1
GO_0050919	['ITGB3']	1
GO_0019899	['ITGB3']	1
CHEBI_15368	['ITGB3']	1
CL_0002306	['ITGB3', 'RNF182']	2
UBERON_0001225	['ITGB3', 'RNF182']	2
GO_0032369	['ITGB3']	1
GO_0050748	['ITGB3']	1
GO_0034683	['ITGB3']	1
GO_0031994	['ITGB3']	1
GO_0032147	['ITGB3']	1
CHEBI_42758	['ITGB3', 'ITGA2B']	2
GO_0032587	['ITGB3']	1
GO_0001934	['ITGB3']	1
GO_0031527	['ITGB3']	1
GO_0042060	['ITGB3', 'ALOX15']	2
GO_0043277	['ITGB3', 'ALOX15']	2
GO_0001938	['ITGB3', 'ARG1']	2
GO_0017134	['ITGB3']	1
GO_0098978	['ITGB3']	1
GO_0031258	['ITGB3']	1
GO_0002020	['ITGB3', 'LCN2']	2
GO_0005634	['ITGB3', 'KRT73', 'TUBB2A', 'ARG1']	4
GO_0007160	['ITGB3', 'ITGA2B']	2
GO_0060055	['ITGB3']	1
CHEBI_18723	['ITGB3', 'ITGA2B']	2
CHEBI_52492	['ITGB3']	1
CHEBI_17688	['ITGB3', 'ITGA2B']	2
GO_0099149	['ITGB3']	1
CHEBI_39162	['ITGB3', 'ITGA2B']	2
GO_0003756	['ITGB3']	1
CHEBI_15365	['ITGB3', 'ITGA2B']	2
GO_0034113	['ITGB3']	1
GO_0038132	['ITGB3']	1
GO_0035866	['ITGB3']	1
GO_0045211	['ITGB3']	1
GO_0045202	['ITGB3', 'UTS2']	2
GO_0030949	['ITGB3']	1
GO_0030168	['ITGB3']	1
CHEBI_17826	['ITGB3']	1
GO_0050839	['ITGB3']	1
GO_1905956	['LCN2']	1
GO_0009637	['LCN2']	1
GO_0009410	['LCN2', 'ARG1']	2
GO_0070301	['LCN2', 'ARG1']	2
CHEBI_31823	['LCN2']	1
PR_P80188	['LCN2']	1
GO_0071347	['LCN2']	1
CHEBI_9516	['LCN2']	1
CHEBI_46557	['LCN2']	1
PR_000009725	['LCN2']	1
GO_0071356	['LCN2']	1
GO_0006915	['LCN2']	1
CHEBI_42588	['LCN2']	1
GO_1904440	['LCN2']	1
CHEBI_27899	['LCN2']	1
GO_1903981	['LCN2']	1
UBERON_0002110	['LCN2']	1
GO_0071222	['LCN2', 'ARG1']	2
GO_0010046	['LCN2']	1
GO_0097577	['LCN2']	1
GO_0005506	['LCN2', 'ALOX15']	2
CHEBI_46195	['LCN2']	1
CHEBI_31175	['LCN2']	1
GO_0015891	['LCN2']	1
GO_1990090	['LCN2']	1
GO_0090650	['LCN2']	1
CHEBI_64090	['LCN2']	1
GO_1904646	['LCN2']	1
GO_0036295	['LCN2']	1
CHEBI_15367	['LCN2']	1
GO_0009635	['LCN2', 'ARG1']	2
CHEBI_29678	['LCN2']	1
3934	['LCN2']	1
GO_0120162	['LCN2']	1
GO_0031346	['LCN2']	1
GO_0036094	['LCN2']	1
GO_0043525	['LCN2']	1
CL_0002079	['LCN2', 'VNN1']	2
CHEBI_35456	['LCN2']	1
GO_0010040	['LCN2']	1
GO_0071354	['LCN2']	1
10561	['IFI44']	1
GO_0009617	['IFI44']	1
PR_000008907	['IFI44']	1
PR_Q8TCB0	['IFI44']	1
3674	['ITGA2B']	1
PR_000009127	['ITGA2B']	1
GO_0002687	['ITGA2B']	1
PR_P08514	['ITGA2B']	1
CHEBI_53490	['ITGA2B']	1
UBERON_0001301	['ITGA2B']	1
GO_0016165	['ALOX15']	1
CHEBI_9352	['ALOX15']	1
CHEBI_133899	['ALOX15']	1
GO_0043651	['ALOX15']	1
CHEBI_132067	['ALOX15']	1
CHEBI_142430	['ALOX15']	1
CHEBI_32395	['ALOX15']	1
CHEBI_73468	['ALOX15']	1
GO_0004052	['ALOX15']	1
CHEBI_2979	['ALOX15']	1
CHEBI_45716	['ALOX15']	1
CHEBI_132072	['ALOX15']	1
GO_0019372	['ALOX15']	1
GO_2001303	['ALOX15']	1
246	['ALOX15']	1
CHEBI_133798	['ALOX15']	1
CHEBI_17351	['ALOX15']	1
CHEBI_5759	['ALOX15']	1
CHEBI_132078	['ALOX15']	1
CHEBI_132065	['ALOX15']	1
CHEBI_57446	['ALOX15']	1
CHEBI_30245	['ALOX15']	1
CHEBI_78048	['ALOX15']	1
CHEBI_16433	['ALOX15']	1
CHEBI_57444	['ALOX15']	1
GO_0042759	['ALOX15']	1
GO_0051122	['ALOX15']	1
PR_P16050	['ALOX15']	1
GO_0006954	['ALOX15', 'VNN1']	2
GO_0047977	['ALOX15']	1
CHEBI_132074	['ALOX15']	1
GO_0006629	['ALOX15']	1
CHEBI_140349	['ALOX15']	1
CHEBI_77224	['ALOX15']	1
GO_0034440	['ALOX15']	1
CHEBI_73458	['ALOX15']	1
PR_000003959	['ALOX15']	1
GO_0034976	['ALOX15']	1
CHEBI_57466	['ALOX15']	1
CHEBI_131965	['ALOX15']	1
CHEBI_132075	['ALOX15']	1
CHEBI_132070	['ALOX15']	1
GO_0005546	['ALOX15']	1
CHEBI_133799	['ALOX15']	1
GO_0031234	['ALOX15']	1
GO_0006646	['ALOX15']	1
GO_0030282	['ALOX15']	1
CHEBI_132077	['ALOX15']	1
CHEBI_132129	['ALOX15']	1
CHEBI_490095	['ALOX15']	1
GO_0050473	['ALOX15']	1
CHEBI_133795	['ALOX15']	1
CHEBI_132071	['ALOX15']	1
CHEBI_57410	['ALOX15']	1
GO_0010811	['ALOX15']	1
CHEBI_131964	['ALOX15']	1
CHEBI_133900	['ALOX15']	1
CHEBI_17395	['ALOX15']	1
CHEBI_28741	['ALOX15']	1
GO_0030838	['ALOX15']	1
CHEBI_132073	['ALOX15']	1
CHEBI_156049	['ALOX15']	1
CHEBI_156082	['ALOX15']	1
CHEBI_82626	['ALOX15']	1
GO_0016702	['ALOX15']	1
CHEBI_156131	['ALOX15']	1
CHEBI_132063	['ALOX15']	1
GO_0019395	['ALOX15']	1
GO_0070374	['ALOX15']	1
GO_1901074	['ALOX15']	1
CHEBI_77016	['ALOX15']	1
CHEBI_132061	['ALOX15']	1
CHEBI_77226	['ALOX15']	1
GO_0035963	['ALOX15']	1
CHEBI_132060	['ALOX15']	1
CHEBI_132062	['ALOX15']	1
GO_0034116	['ALOX15']	1
CHEBI_59002	['ALOX15']	1
GO_0035358	['ALOX15']	1
CHEBI_24875	['ALOX15']	1
GO_0050727	['ALOX15']	1
GO_0019369	['ALOX15']	1
GO_0002820	['ALOX15']	1
CHEBI_84638	['ALOX15']	1
GO_0001503	['ALOX15']	1
GO_0051120	['ALOX15']	1
CHEBI_15379	['ALOX15']	1
GO_0071277	['ALOX15']	1
CHEBI_132068	['ALOX15']	1
CHEBI_132076	['ALOX15']	1
CHEBI_78324	['ALOX15']	1
PR_000016357	['TARP']	1
CL_0000815	['UTS2']	1
UBERON_0001896	['UTS2']	1
UBERON_0000988	['UTS2']	1
UBERON_0001155	['UTS2', 'TUBB2A']	2
GO_0007165	['UTS2']	1
CL_0000084	['UTS2', 'KRT73', 'TUBB2A']	3
GO_0097746	['UTS2']	1
UBERON_0001898	['UTS2']	1
GO_0007268	['UTS2']	1
10911	['UTS2']	1
PR_O95399	['UTS2']	1
GO_0006936	['UTS2']	1
PR_000017210	['UTS2']	1
